1,2,3,4
33.4,26.9,29.6,7883.3
33.2,27.5,33.5,8242.5
32.9,28.2,39.6,8629.8
33,28.8,45.2,9178.8
32.8,29.4,51.1,9785.8
33,30.2,57.9,10502
33,30.6,64.2,10980.3
32.9,31,68.7,11826.7
32.8,34.5,75.3,11687
32.9,35.7,69,10390.5
32.9,35.9,63,9666.8
32.9,35.9,56.9,8845.3
32.9,35.5,51.5,8263.3
33,35.1,45.4,7690.5
32.9,34.7,39.2,7200.8
32.9,34.5,35.3,6830
33,34.9,34.9,6823
33,36.1,38.2,6929.3
32.9,37.3,44.6,7416.3
32.9,38,50.9,7924.3
33,38.6,56.9,8461.8
32.9,38.8,62.8,9094
32.9,39.2,68.7,9766.8
33,39.4,72.2,10253
32.9,40.2,74,10183.5
32.9,42.7,69.4,9119.7
33,42.9,62.5,8263.3
32.9,42.7,56,7421.8
32.8,42.5,50.9,7015
33,42.1,45.4,6587
32.8,41.7,39.2,6011.3
33,41.3,35.5,5722
32.9,41.7,35.1,5693.5
33,42.9,38.6,5842.8
32.9,44,44.6,6182
33,44.6,50.5,6627.8
33,45,56.5,7108.8
32.9,45.4,62.3,7663.8
33,45.8,68.1,8193
32.9,45.8,71.6,8647.3
33,47.2,72.8,8535
32.8,49.2,69,7619
32.9,49.6,62.8,7060
33,49.4,56.7,6343.5
33,49,50.7,5810.3
32.9,48.6,45.4,5344
33,48.4,39.4,4895.3
32.8,48,35.1,4698.8
32.9,48.6,34.7,4587.5
33,49.8,38.2,4742.3
33,50.7,43.8,5174
33,51.3,50,5386.3
32.9,51.7,55.8,5832.3
33,52.1,61.3,6316
32.8,52.5,67.5,7016.5
32.9,52.9,72,7285.3
33,53.8,74.4,7231.3
32.9,56.3,68.5,6392.8
32.9,56.7,63.2,5800.8
33,56.7,57.3,5247.5
32.9,56.3,51.3,4830.3
32.9,56.2,45,4422.8
32.9,55.8,39.4,3999.5
32.9,55.8,35.1,3831.5
33,56.3,34.7,3789
32.9,57.5,38.4,3842.8
32.9,58.5,44.4,4223.3
33,59.1,50.9,4561
33,59.7,57.1,5026.8
32.9,60.1,63.2,5350.3
33,60.5,69,5825.3
33,60.7,73.6,6203
33,60.9,75.1,6278
32.9,62.3,70.2,5647.8
33,62.3,64.2,5122.3
32.9,62.3,58.1,4628.8
33,62.1,51.7,4228
32.9,61.7,45.4,3768.3
33,61.5,39.4,3374
32.9,61.3,35.7,3294
38,61.1,34.9,3350.5
37.9,61.1,38,3715.7
37.8,61.3,44.6,4022.5
37.9,61.5,50.9,4484
37.9,61.7,56.7,4807
37.9,62.1,63.4,5300
37.8,62.3,69.6,5749
37.9,62.6,73.6,6110.5
37.8,62.1,75.5,6230
37.9,60.1,69.8,6039
37.9,59.5,63.8,5601.8
37.7,59.1,57.9,5104.5
37.9,58.7,51.9,4683.5
37.8,58.5,45.6,4380.3
37.9,58.1,39.4,3859.3
37.9,57.9,35.3,3725.3
37.9,56.3,34.9,3834.3
37.8,55.4,38.4,4238
37.8,55,44.8,4718.8
37.8,55,51.3,5224
37.9,55,57.1,5881.3
37.8,55.2,63.2,6221.8
37.8,55.6,69.6,6779.5
37.9,55.8,73.6,7256.8
37.8,54.2,75.3,7530.3
37.8,53.1,69.8,7069
37.8,52.5,64,6676.3
37.8,52.3,58.1,6178
37.8,51.9,51.7,5774
37.8,51.5,45.4,5165.3
37.9,51.1,39,4871
37.9,50.9,35.1,4526.8
37.8,48.8,34.7,4804.3
37.8,48.2,38.4,5091.8
37.8,47.8,44.4,5743
37.9,47.8,50.9,6285.5
37.8,48,57.1,6875
37.9,48.2,63.2,7548.7
37.8,48.6,70.2,8143.8
37.9,48.8,73.6,8546.3
37.9,47.2,75.3,8988.3
37.8,46.2,70,8556.5
37.8,45.8,64,7932
37.8,45.2,58.1,7442.3
37.8,44.6,52.1,6881.5
37.9,44.2,45.8,6334.8
37.9,43.8,39.4,5866
37.8,43.5,35.3,5567
37.7,41.3,34.7,5786
37.9,40.7,38.6,6274.8
37.8,40.4,44.6,6861.5
37.9,40.2,50.9,7549.3
37.7,40.2,56.7,8104.8
37.9,40.4,62.1,8819.3
37.8,40.7,68.1,9438.3
37.7,40.7,72,10050.8
37.9,39,73,10380.3
